Time,Mag,Depth_km,Lat,Lon,Remark
9/14/2016 0:48,3,13,35.75 N,129.18 E,??? ????? ???????? 11km ????
9/14/2016 1:37,2.1,17,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/14/2016 3:55,2.4,19,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/14/2016 4:43,2.1,17,35.77 N,129.17 E,??? ????? ???????? 9km ????
9/14/2016 12:38,2.2,18,35.78 N,129.19 E,??? ????? ???????? 7km ????
9/14/2016 16:47,2.1,17,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/14/2016 17:27,2.3,18,35.77 N,129.17 E,??? ????? ???????? 9km ????
9/14/2016 22:31,2.4,18,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/15/2016 3:22,2.7,18,35.76 N,129.18 E,??? ????? ???? 9km ????
9/15/2016 19:47,2.2,20,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/15/2016 20:48,2.6,19,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/16/2016 5:31,2.2,18,35.78 N,129.19 E,??? ????? ???????? 7km ????
9/16/2016 15:13,2.3,16,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/16/2016 18:58,2,19,35.75 N,129.18 E,??? ????? ???????? 10km ????
9/16/2016 19:15,2,16,35.76 N,129.18 E,??? ????? ???????? 10km ????
9/16/2016 19:54,2.1,13,35.74 N,129.17 E,??? ????? ???????? 12km ????
9/16/2016 21:14,2.2,18,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/17/2016 7:12,2.1,17,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/17/2016 16:21,2.1,18,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/18/2016 16:27,2.4,16,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/18/2016 16:51,1.3,14,35.76 N,129.19 E,??? ????? ???????? 11km ????
9/18/2016 22:38,2,14,35.75 N,129.18 E,??? ????? ???????? 10km ????
9/19/2016 9:17,2.1,17,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/19/2016 20:33,4.5,14,35.74 N,129.18 E,??? ????? ???????? 11km ????
9/19/2016 21:00,2.1,18,35.75 N,129.17 E,??? ????? ???????? 11km ????
9/20/2016 9:58,2.4,19,35.76 N,129.20 E,??? ????? ???? 9km ????
9/20/2016 20:03,2.1,17,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/21/2016 0:59,2.1,17,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/21/2016 3:36,2.9,14,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/21/2016 11:36,2.2,16,35.78 N,129.15 E,??? ????? ?????? 9km ????
9/21/2016 11:53,3.5,18,35.75 N,129.18 E,??? ????? ???????? 10km ????
9/22/2016 0:01,2.3,16,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/22/2016 3:22,2.1,14,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/23/2016 18:21,2.1,17,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/24/2016 19:56,2.5,15,35.79 N,129.19 E,??? ????? ???????? 6km ????
9/28/2016 16:34,3.1,13,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/28/2016 21:10,2.7,15,35.77 N,129.17 E,??? ????? ???????? 9km ????
