지점,일시,강수량(mm)
283,04/03/21 18:00,1.1
283,04/03/21 19:00,2.5
283,04/03/21 20:00,3.2
283,04/03/21 21:00,2.6
283,04/03/21 22:00,1.2
283,04/03/21 23:00,0.6
283,04/04/21 00:00,1.4
283,04/04/21 01:00,2.8
283,04/04/21 02:00,1.6
283,04/04/21 03:00,1.9
283,04/04/21 04:00,1.9
283,04/04/21 05:00,2.4
283,04/04/21 06:00,4.7
283,04/04/21 07:00,1.5
283,04/04/21 08:00,0.4
283,04/04/21 09:00,0.1
283,04/04/21 10:00,0
283,04/04/21 11:00,0
283,04/09/21 11:00,0
283,04/09/21 12:00,0.3
283,04/09/21 13:00,0
283,04/12/21 10:00,0
283,04/12/21 11:00,0.4
283,04/12/21 12:00,0.8
283,04/12/21 13:00,0.6
283,04/12/21 14:00,0.5
283,04/12/21 15:00,0.3
283,04/12/21 17:00,0.2
283,04/12/21 18:00,1
283,04/12/21 19:00,0.8
283,04/12/21 20:00,0.1
283,04/12/21 21:00,0.4
283,04/12/21 22:00,1.9
283,04/12/21 23:00,1
283,04/13/21 00:00,0.1
283,04/13/21 01:00,0.1
283,04/17/21 13:00,0
283,04/23/21 09:00,0
283,04/29/21 07:00,0
283,04/29/21 08:00,0
283,04/29/21 10:00,0
283,04/29/21 11:00,0
283,04/30/21 02:00,0
283,04/30/21 06:00,0
283,04/30/21 07:00,0
283,05/01/21 02:00,0
283,05/01/21 03:00,2
283,05/01/21 04:00,3.4
283,05/01/21 05:00,2
283,05/01/21 06:00,2.1
283,05/01/21 07:00,1.1
283,05/01/21 08:00,0.5
283,05/01/21 21:00,0
283,05/02/21 04:00,0.1
283,05/02/21 05:00,2.1
283,05/02/21 06:00,0.5
283,05/02/21 07:00,0.1
283,05/02/21 09:00,0
283,05/04/21 16:00,0
283,05/04/21 17:00,0
283,05/04/21 18:00,0.3
283,05/04/21 19:00,0.2
283,05/04/21 20:00,0
283,05/04/21 21:00,0.6
283,05/04/21 22:00,1.5
283,05/04/21 23:00,1
283,05/05/21 00:00,0.9
283,05/05/21 01:00,0.4
283,05/05/21 04:00,0
283,05/05/21 05:00,0.3
283,05/07/21 16:00,0
283,05/07/21 17:00,0
283,05/10/21 07:00,0.1
283,05/10/21 08:00,0.1
283,05/10/21 11:00,0
283,05/10/21 12:00,0.2
283,05/10/21 15:00,0
283,05/10/21 16:00,0.6
283,05/10/21 17:00,0
283,05/10/21 22:00,0
283,05/11/21 00:00,0
283,05/11/21 05:00,0
283,05/11/21 07:00,0
283,05/11/21 08:00,0
283,05/11/21 09:00,0.2
283,05/11/21 11:00,0
283,05/15/21 05:00,0
283,05/15/21 08:00,2.1
283,05/15/21 09:00,1.2
283,05/15/21 10:00,0
283,05/15/21 11:00,1.9
283,05/15/21 12:00,0.4
283,05/15/21 13:00,0.2
283,05/15/21 14:00,0
283,05/16/21 03:00,0
283,05/16/21 04:00,9.3
283,05/16/21 05:00,8.7
283,05/16/21 06:00,0.4
283,05/16/21 09:00,0
283,05/16/21 11:00,1.9
283,05/16/21 12:00,0.2
283,05/16/21 13:00,0.8
283,05/16/21 15:00,0
283,05/16/21 16:00,0.8
283,05/16/21 17:00,1.6
283,05/16/21 18:00,1.9
283,05/16/21 19:00,3.2
283,05/16/21 20:00,7.2
283,05/16/21 21:00,0.8
283,05/16/21 22:00,0.1
283,05/16/21 23:00,0
283,05/17/21 00:00,0.1
283,05/17/21 02:00,0.1
283,05/17/21 03:00,0.1
283,05/17/21 04:00,0.1
283,05/17/21 05:00,0.2
283,05/17/21 06:00,0.2
283,05/17/21 08:00,0.2
283,05/17/21 09:00,0.3
283,05/17/21 10:00,0.3
283,05/17/21 11:00,0
283,05/17/21 13:00,0.1
283,05/17/21 16:00,1.3
283,05/17/21 17:00,0.8
283,05/17/21 18:00,1.3
283,05/17/21 19:00,0.3
283,05/17/21 20:00,0.1
283,05/17/21 21:00,0.3
283,05/17/21 22:00,0.5
283,05/17/21 23:00,0.4
283,05/18/21 00:00,0.1
283,05/18/21 10:00,0.2
283,05/20/21 09:00,0.2
283,05/20/21 10:00,0.5
283,05/20/21 11:00,2
283,05/20/21 12:00,0.8
283,05/20/21 13:00,3.3
283,05/20/21 14:00,0.8
283,05/20/21 15:00,0.4
283,05/20/21 16:00,0.4
283,05/20/21 17:00,0.1
283,05/20/21 18:00,0.1
283,05/21/21 18:00,0
283,05/24/21 07:00,0.1
283,05/24/21 08:00,0.8
283,05/24/21 09:00,0.6
283,05/28/21 16:00,9.2
283,05/28/21 17:00,3.5
283,05/31/21 06:00,0.5
283,05/31/21 07:00,0.3
283,05/31/21 08:00,0
