국내 지진목록 검색결과
번호,발생시각,규모,깊이(km),위도,경도,위치
237,12/07/19 00:48,1.4,10,35.82 N,129.37 E,경북 경주시 동쪽 14km 지역
236,12/06/19 10:04,1.6,11,35.82 N,129.37 E,경북 경주시 동쪽 14km 지역
235,12/04/19 12:28,1.4,8,35.83 N,129.38 E,경북 경주시 동쪽 15km 지역
234,12/04/19 09:11,1.6,10,35.73 N,129.36 E,경북 경주시 남동쪽 18km 지역
233,12/02/19 09:37,1.5,14,35.76 N,129.36 E,경북 경주시 동남동쪽 16km 지역
232,11/23/19 01:49,1.4,11,35.78 N,129.37 E,경북 경주시 동남동쪽 15km 지역
231,11/21/19 21:48,1.1,11,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
230,11/16/19 12:56,1.6,15,35.77 N,129.21 E,경북 경주시 남쪽 8km 지역
229,11/15/19 21:39,1.6,12,35.80 N,129.15 E,경북 경주시 남서쪽 7km 지역
228,11/08/19 22:48,1.9,16,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
227,11/05/19 18:52,1.2,5,35.76 N,129.02 E,경북 경주시 서남서쪽 20km 지역
226,11/04/19 08:25,1.4,13,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
225,10/29/19 06:10,1.2,8,35.72 N,129.35 E,경북 경주시 남동쪽 18km 지역
224,10/28/19 12:29,1.1,13,35.71 N,129.39 E,경북 경주시 남동쪽 21km 지역
223,10/28/19 11:35,1.2,10,35.71 N,129.39 E,경북 경주시 남동쪽 21km 지역
222,10/18/19 16:30,1.7,8,35.81 N,129.20 E,경북 경주시 남남서쪽 3km 지역
221,10/15/19 15:27,1.7,16,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
220,10/15/19 09:48,1.6,13,35.77 N,129.20 E,경북 경주시 남쪽 8km 지역
219,10/03/19 09:47,1.5,14,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
218,09/30/19 02:55,1,13,35.73 N,129.41 E,경북 경주시 남동쪽 21km 지역
217,09/29/19 00:24,0.8,13,35.73 N,129.39 E,경북 경주시 남동쪽 20km 지역
216,09/20/19 23:13,1.5,16,35.81 N,129.38 E,경북 경주시 동남동쪽 15km 지역
215,09/10/19 19:16,1.6,14,35.78 N,129.37 E,경북 경주시 동남동쪽 15km 지역
214,09/10/19 00:30,1.4,13,35.76 N,129.38 E,경북 경주시 동남동쪽 17km 지역
213,09/09/19 23:57,1.5,11,35.75 N,129.38 E,경북 경주시 동남동쪽 18km 지역
212,09/09/19 22:39,1.4,12,35.76 N,129.40 E,경북 경주시 동남동쪽 19km 지역
211,09/09/19 09:52,1.8,14,35.77 N,129.20 E,경북 경주시 남쪽 8km 지역
210,09/09/19 03:44,1,8,35.73 N,129.28 E,경북 경주시 남남동쪽 13km 지역
209,09/08/19 20:50,1.5,13,35.78 N,129.17 E,경북 경주시 남남서쪽 8km 지역
208,09/07/19 21:30,1.9,14,35.76 N,129.20 E,경북 경주시 남쪽 9km 지역
207,09/07/19 12:11,1.9,9,35.74 N,129.15 E,경북 경주시 남남서쪽 12km 지역
206,08/24/19 21:57,1.8,15,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
205,08/24/19 11:37,1.3,5,35.76 N,129.37 E,경북 경주시 동남동쪽 16km 지역
204,08/22/19 21:07,1.5,12,35.78 N,129.19 E,경북 경주시 남남서쪽 7km 지역
203,08/22/19 10:26,1.2,14,35.77 N,129.20 E,경북 경주시 남쪽 8km 지역
202,08/21/19 18:21,1.6,13,35.76 N,129.20 E,경북 경주시 남쪽 9km 지역
201,08/20/19 01:38,1.1,10,35.82 N,129.15 E,경북 경주시 서남서쪽 6km 지역
200,08/19/19 20:21,1.2,12,35.74 N,129.41 E,경북 경주시 동남동쪽 21km 지역
199,08/17/19 04:07,1.6,13,35.74 N,129.41 E,경북 경주시 동남동쪽 21km 지역
198,08/04/19 17:16,1.3,10,35.72 N,129.35 E,경북 경주시 남동쪽 18km 지역
197,08/04/19 02:07,1.2,9,35.71 N,129.34 E,경북 경주시 남동쪽 18km 지역
196,07/17/19 23:02,0.8,12,35.74 N,129.40 E,경북 경주시 동남동쪽 20km 지역
195,07/14/19 15:51,1.5,12,35.79 N,129.21 E,경북 경주시 남쪽 5km 지역
194,07/14/19 11:21,1.5,16,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
193,07/12/19 20:07,1.5,14,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
192,07/09/19 23:26,1.3,13,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
191,07/09/19 03:27,1.7,17,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역
190,07/06/19 14:50,1.7,16,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
189,07/05/19 20:07,0.9,14,35.76 N,129.20 E,경북 경주시 남쪽 9km 지역
188,07/04/19 01:17,1.2,15,35.79 N,129.36 E,경북 경주시 동남동쪽 14km 지역
187,07/02/19 00:16,1.4,15,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
186,06/29/19 18:03,0.8,12,35.75 N,129.19 E,경북 경주시 남남서쪽 10km 지역
185,06/24/19 04:14,0.8,9,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
184,06/16/19 20:01,1.3,15,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
183,06/16/19 11:52,1.1,14,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
182,06/15/19 09:06,1.6,18,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
181,06/15/19 05:29,1.1,14,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
180,06/15/19 01:59,0.7,14,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
179,06/11/19 23:18,2.5,19,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
178,06/11/19 22:20,0.7,15,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
177,06/08/19 21:37,1.2,15,35.77 N,129.20 E,경북 경주시 남쪽 8km 지역
176,06/02/19 22:02,0.6,14,35.78 N,129.20 E,경북 경주시 남남서쪽 7km 지역
175,06/02/19 07:26,0.7,5,35.90 N,129.13 E,경북 경주시 북서쪽 10km 지역
174,06/01/19 05:28,1,11,35.77 N,129.37 E,경북 경주시 동남동쪽 16km 지역
173,05/30/19 05:31,1.2,9,35.81 N,129.25 E,경북 경주시 남동쪽 4km 지역
172,05/24/19 23:33,0.8,14,35.78 N,129.20 E,경북 경주시 남남서쪽 7km 지역
171,05/19/19 09:37,1.7,12,35.95 N,129.26 E,경북 경주시 북북동쪽 13km 지역
170,05/18/19 18:32,1.4,15,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
169,05/12/19 01:10,0.8,14,35.75 N,129.41 E,경북 경주시 동남동쪽 20km 지역
168,05/08/19 04:46,0.8,13,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
167,05/07/19 00:56,1.2,14,35.74 N,129.18 E,경북 경주시 남남서쪽 11km 지역
166,05/03/19 12:08,1,13,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
165,05/01/19 17:27,1,15,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
164,04/30/19 05:55,1.4,15,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
163,04/20/19 23:43,0.8,12,35.78 N,129.20 E,경북 경주시 남남서쪽 7km 지역
162,04/17/19 11:27,1.4,18,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역
161,04/12/19 19:26,1.5,16,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
160,04/06/19 05:38,1.9,13,35.74 N,129.41 E,경북 경주시 동남동쪽 21km 지역
159,04/02/19 00:43,1.1,12,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
158,03/20/19 22:17,1.4,13,35.74 N,129.40 E,경북 경주시 동남동쪽 20km 지역
157,03/20/19 17:53,1.7,14,35.75 N,129.41 E,경북 경주시 동남동쪽 20km 지역
156,03/19/19 09:17,1,13,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
155,03/12/19 12:03,1.3,12,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
